Plaza,Local_Consolidado,Fecha,Organico,Inorganico,Carton,Aluminio,Archivo,Plastico_Duro,Pet,Playo,Vidrio,Tetra_Pak,Chatarra
Plaza Américas_Malecón,Don Carbón,4/4/2024,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Chili´s,4/4/2024,45.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
Plaza Américas_Malecón,Toks,4/4/2024,41.00,23.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,4/4/2024,36.00,21.00,4.00,0.00,0.00,0.00,1.50,0.00,3.00,0.00,0.00
Plaza Américas_Malecón,La Crepería,4/4/2024,10.50,4.60,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza_Américas_Playa,PRETTY NAILS,24/8/2024,0.26,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,1/9/2024,60.55,15.45,10.55,0.35,0.00,0.25,0.45,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,1/9/2024,2.00,0.86,5.34,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,1/9/2024,20.00,24.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Monkey Papas,1/9/2024,0.00,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Américas),1/9/2024,18.90,43.00,3.00,0.00,0.00,0.15,0.10,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,1/9/2024,0.00,16.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Mini Buda,1/9/2024,0.00,32.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,1/9/2024,16.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Rubens Hamburguesas,1/9/2024,0.00,49.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,1/9/2024,24.50,24.50,0.00,0.00,0.00,0.00,1.80,0.00,2.30,0.00,0.00
Plaza Américas_Malecón,La Parrilla,1/9/2024,4.70,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
